broad_cpd_id,cpd_smiles
BRD-K64925568,CC(C)[C@@H](CS(=O)(=O)C(C)C)N1[C@@H]([C@H](C[C@](C)(CC(O)=O)C1=O)c1cccc(Cl)c1)c1ccc(Cl)cc1
BRD-K90239174,CCOc1ccc(cc1)-n1c(nc2ncccc2c1=O)[C@@H](C)N(Cc1cccnc1)C(=O)Cc1ccc(OC(F)(F)F)cc1
BRD-K34185671,CC(=O)Nc1nc2c(Oc3cc(ncn3)-c3ccc(cc3)C(F)(F)F)cccc2s1
BRD-K43802723,CC#C[C@@H](CC(O)=O)c1ccc(OCc2cccc(c2)-c2ccc(cc2)C(F)(F)F)cc1
BRD-A30051119,NCC[C@@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)C1O
BRD-K97181089,NC(=N)NC(=O)c1nc(Cl)c(N)nc1N
BRD-K24219278,OC(=O)CCCCCCNC1c2ccccc2CCc2ccccc12
BRD-K64931368,NCCCCCC(O)=O
BRD-A25234499,CCC1(CCC(=O)NC1=O)c1ccc(N)cc1
BRD-K25114078,NNC(N)=N
BRD-K80267133,Nc1ccc(C(O)=O)c(O)c1
BRD-K17561142,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
BRD-K97643133,CN(C)CCCO[C@H]1[C@H](O[C@@H]2OC(C)(C)O[C@H]12)[C@H](O)CO
BRD-A68942014,Clc1ccc(cc1Cl)C12CC1CNC2
BRD-K53737926,CN(C)CCC=C1c2ccccc2CCc2ccccc12
BRD-K29530284,CC(C)c1ccc2oc3nc(N)c(cc3c(=O)c2c1)C(O)=O
BRD-A22032524,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
BRD-K15318383,C[C@]12CC[C@@](C)(C[C@H]1C1=CC(=O)[C@@H]3[C@]4(C)CC[C@H](O[C@H]5O[C@@H]([C@@H](O)[C@H](O)[C@@H]5O[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)C(O)=O)C(O)=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(O)=O
BRD-K91290917,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O
BRD-K56334280,CN(C)CCN1C(=O)c2cccc3cc(N)cc(C1=O)c23
BRD-K02265150,Clc1ccc2Oc3ccccc3N=C(N3CCNCC3)c2c1
BRD-K24771047,O=C(N1CCCCC1)c1ccc2nccnc2c1
BRD-K45924332,Nc1cc(c[nH]c1=O)-c1ccncc1
BRD-K68346641,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
BRD-K70924353,COc1ccccc1OC(=O)CNC(=O)Cc1ccc(C(=O)c2ccc(C)cc2)n1C
BRD-K66538826,S=C(NCc1ccc2OCOc2c1)N1CCN(CC1)c1ncnc2c3ccccc3oc12
BRD-K66989831,CCCCCCCCCCCCCCCc1cccc(O)c1C(O)=O
BRD-K44366189,COc1cc(F)c(cc1-c1ccc(cc1CN1[C@H](C)[C@H](OC1=O)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(C)C
BRD-K62200014,Clc1ccc2N=C3NC(=O)CN3Cc2c1Cl
BRD-K01174345,CN(C)N(C)C(=O)[C@@]1(Cc2ccccc2)CCCN(C1)C(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)C(C)(C)N
